gene_symbol	historical_mechanisms	exact_condition_hpo_route	exact_route_with_inheritance	exact_route_with_penetrance	exact_route_with_both	exact_condition_count	exact_sources	exact_mechanisms	included_hpo_condition_with_inheritance_and_penetrance	unlinked_same_condition_hpo_candidate	unlinked_cross_condition_gene_wide_candidate	hpo_conditions_with_both
PTEN	GOF;LOF	1	1	0	0	4	G2P_DDG2P;GoFCards_exact+ClinVar_VCV;Orphadata	GOF;LOF	1	0	0	OMIM:607174
PTF1A	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
PTH	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
PTH1R	GOF;LOF	1	1	0	0	5	G2P_DDG2P;Orphadata	GOF;LOF	0	0	0	
PTHLH	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
PTPN11	GOF;LOF	1	1	0	0	6	G2P_DDG2P;GoFCards_exact+ClinVar_VCV;Orphadata	GOF;LOF	0	0	0	
PTPN13	LOF	0	0	0	0	0			0	0	0	
PTPN14	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
PTPN22	GOF	0	0	0	0	0			0	0	0	
PTPN23	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
PTPRF	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
PTPRQ	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
PTRH2	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
PTS	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
PUF60	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
PURA	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
PUS1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
PUS3	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
PUS7	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
PXDN	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
PYCR1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
PYCR2	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
PYGL	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
PYGM	GOF	1	1	0	0	1	GoFCards_exact+ClinVar_VCV	GOF	0	0	0	
PYROXD1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
QARS1	LOF	0	0	0	0	0			0	0	0	
QDPR	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
QKI	LOF	0	0	0	0	0			0	0	0	
QRICH1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RAB18	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
RAB1A	LOF	0	0	0	0	0			0	0	0	
RAB23	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
RAB27A	LOF	0	0	0	0	0			0	0	0	
RAB28	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RAB34	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RAB39B	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
RAB3GAP1	LOF	1	1	0	0	3	G2P_DDG2P;Orphadata	LOF	0	0	0	
RAB3GAP2	LOF	1	1	0	0	3	G2P_DDG2P;Orphadata	LOF	0	0	0	
RAB40B	GOF	0	0	0	0	0			0	0	0	
RAB5C	DOMINANT_NEGATIVE	0	0	0	0	0			0	0	0	
