gene_symbol	source	source_record_id	source_condition_id	mondo_id	disease_scope	priva_scope	scope_review_status	disease_label	inheritance	penetrance_raw	penetrance_hpo_ids	normalized_penetrance	patho_mode_raw	normalized_mechanisms	mechanism_confidence	disease_confidence	pmids	evidence_url	panel_or_submitter	phenotype_terms	notes
ORAI1	Orphadata	ORPHA:2593|ORAI1|disease_causing_germline_mutation_s_gain_of_function_in	ORPHA:2593	MONDO:0008051	mendelian_non_neoplastic	include	auto_supported	Tubular aggregate myopathy					Disease-causing germline mutation(s) (gain of function) in	GOF	high	Assessed	24591628	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
STIM1	Orphadata	ORPHA:2593|STIM1|disease_causing_germline_mutation_s_gain_of_function_in	ORPHA:2593	MONDO:0008051	mendelian_non_neoplastic	include	auto_supported	Tubular aggregate myopathy					Disease-causing germline mutation(s) (gain of function) in	GOF	high	Assessed	23332920	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
ZPR1	Orphadata	ORPHA:729781|ZPR1|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:729781					Congenital generalized alopecia-hypoplastic kidneys-facial dysmorphism-sensorineural deafness syndrome					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	29851065	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
KIF15	Orphadata	ORPHA:261323|KIF15|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:261323	MONDO:0016845	mendelian_non_neoplastic	include	manually_confirmed	21q22.11q22.12 microdeletion syndrome					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	28150392;27549381	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
GDF5	Orphadata	ORPHA:2639|GDF5|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:2639	MONDO:0009231	mendelian_non_neoplastic	include	auto_supported	Fibular aplasia-complex brachydactyly syndrome					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	16222676	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
SHOX	Orphadata	ORPHA:2632|SHOX|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:2632	MONDO:0009588	mendelian_non_neoplastic	include	auto_supported	Langer mesomelic dysplasia					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	12116254;20301394	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
MYCN	Orphadata	ORPHA:730286|MYCN|disease_causing_germline_mutation_s_gain_of_function_in	ORPHA:730286					Megalencephaly-postaxial polydactyly-ventriculomegaly-neuroblastoma syndrome					Disease-causing germline mutation(s) (gain of function) in	GOF	high	Assessed	37710961	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
FGFR1	Orphadata	ORPHA:2645|FGFR1|disease_causing_germline_mutation_s_gain_of_function_in	ORPHA:2645	MONDO:0008150	mendelian_non_neoplastic	include	auto_supported	Osteoglosphonic dysplasia					Disease-causing germline mutation(s) (gain of function) in	GOF	high	Assessed	15625620	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
PTDSS1	Orphadata	ORPHA:2658|PTDSS1|disease_causing_germline_mutation_s_gain_of_function_in	ORPHA:2658	MONDO:0007892	mendelian_non_neoplastic	include	auto_supported	Lenz-Majewski hyperostotic dysplasia					Disease-causing germline mutation(s) (gain of function) in	GOF	high	Assessed	24241535	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
EHMT1	Orphadata	ORPHA:261652|EHMT1|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:261652	MONDO:0016865	mendelian_non_neoplastic	include	auto_supported	Kleefstra syndrome due to a point mutation					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	20945554	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
KMT2C	Orphadata	ORPHA:261652|KMT2C|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:261652	MONDO:0016865	mendelian_non_neoplastic	include	auto_supported	Kleefstra syndrome due to a point mutation					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	29069077	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
SMARCE1	Orphadata	ORPHA:263662|SMARCE1|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:263662					Familial multiple meningioma					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	23377182	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
CHST8	Orphadata	ORPHA:263548|CHST8|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:263548					Peeling skin syndrome type A					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	22289416	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
SERPINB8	Orphadata	ORPHA:263548|SERPINB8|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:263548					Peeling skin syndrome type A					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	27476651	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
FLG2	Orphadata	ORPHA:263548|FLG2|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:263548					Peeling skin syndrome type A					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	28884927	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
FAM20C	Orphadata	ORPHA:1832|FAM20C|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:1832	MONDO:0009821	mendelian_non_neoplastic	include	auto_supported	Osteosclerotic bone dysplasia					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	25019372	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
INSR	Orphadata	ORPHA:769|INSR|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:769	MONDO:0009874	mendelian_non_neoplastic	include	auto_supported	Rabson-Mendenhall syndrome					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	21869538;17201797	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
SFRP4	Orphadata	ORPHA:3005|SFRP4|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:3005	MONDO:0009943	mendelian_non_neoplastic	include	auto_supported	Pyle disease					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	27355534	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
TBX3	Orphadata	ORPHA:3138|TBX3|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:3138	MONDO:0008411	mendelian_non_neoplastic	include	auto_supported	Ulnar-mammary syndrome					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	19938096;10330342;12668170	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
